course name,course title,course time,course link
COMP_SCI 110,Intro to Computer Programming,10-10:50 MWFHorn,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/110.html
COMP_SCI 111,Fundamentals of Computer Programming I,1-1:50 or 2-2:50 MWFBain,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/111.html
COMP_SCI 150,Fundamentals of Computer Programming 1.5,12-12:50 MWFCompton & Kurdia,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/150.html
COMP_ENG 203,Intro to Computer Engineering,MTuWF 11-11:50Joseph,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/203.html
COMP_ENG 205,Fundamentals of Computer System Software,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/205.html
COMP_SCI 211,Fundamentals of Computer Programming II,12:30-1:50 TuThHummel,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/211.html
COMP_SCI 212,Mathematical Foundations of Computer Science,9:30-10:50 TuThEvert,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/212.html
COMP_SCI 213,Intro to Computer Systems,12:30-1:50 TuThGhena,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/213-20.html
COMP_SCI 214,Data Structures and Algorithms,11-12:20 TuTh ( 2 sections)St-Amour,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/214.html
COMP_SCI 217,Data Management and Information Processing,9:30-10:50 TuThHu,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/217.html
"COMP_SCI 260, 460",Introduction to Law and Digital Technologies,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/260-460.html
COMP_SCI 296,AI and International Security,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/296-1.html
COMP_SCI 298,CS Research Track Program,1-3:50 FHedayati,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/298-1.html
COMP_SCI 301,Introduction to Robotics Laboratory,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/301.html
COMP_ENG 303,Advanced Digital Design,TuTh 12:30-1:50Gu,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/303.html
COMP_SCI 307,Introduction to Cryptography,9:30-10:50 TuThWang,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/307.html
COMP_SCI 310,Scalable Software Architectures,2-3:20 TuTh or 3:30-4:50pm MWHummel,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/310.html
COMP_SCI 311,Inclusive Making,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/311.html
"COMP_SCI 312, 412",Data Privacy,11-12:20 TuThBhagavatula,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/312-412.html
